Suç Türü,R2 Skoru
Kidnapping,0.947093971087466
Theft,0.945908306517795
Robbery,0.9233005350838571
Homicide,0.9153438246873908
Fraud,0.9085704591690787
Drug offences,0.8992155270433545
Sexual violence,0.8764489576724649
Organized crime,0.8651766096126987
Cybercrime,0.864645255284897
Assault,0.8470015868088562
Money laundering,0.8399986675972348
Rape,0.8264289875649371
Corruption,0.8108618636350237
